,File_name,Script,translation,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,class_name
329,word_336.png,Arabic,والأمعاء,,,,,3
330,word_337.png,Arabic,والكبد,,,,,3
332,word_339.png,Arabic,العذر,,,,,3
334,word_341.png,Arabic,بالمنظار,,,,,3
343,word_350.png,Latin,Hémorroides,,,,,0
351,word_358.png,Latin,606,,,,,0
360,word_372.png,Arabic,و,,,,,3
364,word_376.png,Latin,Hotel,,,,,0
365,word_377.png,Latin,Lido,,,,,0
378,word_390.png,Latin,PAR,,,,,0
380,word_392.png,Latin,VIDÈO,,,,,0
398,word_410.png,Latin,DISPENSAIRE,,,,,0
416,word_428.png,Arabic,سيارات,,,,,3
436,word_448.png,Arabic,الإبتدائية,,,,,3
440,word_452.png,Latin,3,,,,,0
448,word_460.png,Arabic,الساعة,,,,,3
449,word_461.png,Arabic,إلى,,,,,3
455,word_467.png,Latin,98,,,,,0
456,word_468.png,Latin,290,,,,,0
457,word_469.png,Latin,874/20,,,,,0
459,word_471.png,Latin,840,,,,,0
465,word_478.png,Arabic,تحويل,,,,,3
473,word_486.png,Arabic,للصَناعة,,,,,3
480,word_493.png,Latin,Maxwo,,,,,0
505,word_518.png,Latin,TT,,,,,0
508,word_521.png,Arabic,وثائق,,,,,3
514,word_527.png,Latin,TUNISIE,,,,,0
518,word_531.png,Latin,orange™,,,,,0
525,word_541.png,Latin,Safia,,,,,0
530,word_546.png,Arabic,للأسفار,,,,,3
531,word_547.png,Arabic,غايتنا,,,,,3
540,word_556.png,Arabic,للكراء,,,,,3
549,word_565.png,Arabic,ملاوي,,,,,3
554,word_571.png,Arabic,مواد,,,,,3
559,word_576.png,Arabic,بيع,,,,,3
562,word_579.png,Latin,Chez,,,,,0
566,word_583.png,Latin,295,,,,,0
572,word_590.png,Arabic,مصرف,,,,,3
576,word_594.png,Arabic,مواد,,,,,3
578,word_596.png,Arabic,بالتفصيل,,,,,3
602,word_620.png,Latin,HALEL,,,,,0
611,word_629.png,Latin,CO,,,,,0
621,word_639.png,Latin,Une,,,,,0
629,word_647.png,Latin,BV1174,,,,,0
639,word_658.png,Arabic,بيها,,,,,3
640,word_659.png,Latin,Lilas,,,,,0
643,word_663.png,Arabic,للبنوك,,,,,3
644,word_664.png,Arabic,الدولي,,,,,3
647,word_667.png,Latin,INTERNATIONALE,,,,,0
650,word_670.png,Arabic,فطور,,,,,3
654,word_674.png,Arabic,لبن,,,,,3
666,word_687.png,Arabic,حي,,,,,3
672,word_693.png,Arabic,شراء,,,,,3
674,word_695.png,Latin,29255999,,,,,0
681,word_702.png,Arabic,إسترجل,,,,,3
684,word_706.png,Arabic,بناتك,,,,,3
693,word_715.png,Arabic,ارجعلي,,,,,3
704,word_726.png,Latin,Al,,,,,0
708,word_730.png,Latin,Wasl,,,,,0
717,word_739.png,Arabic,شارع,,,,,3
727,word_749.png,Arabic,مصرف,,,,,3
750,word_772.png,Latin,Al,,,,,0
755,word_777.png,Arabic,/للمعلومات,,,,,3
758,word_780.png,Arabic,بغداد,,,,,3
761,word_783.png,Arabic,والسلام,,,,,3
765,word_787.png,Arabic,البلديات,,,,,3
768,word_792.png,Arabic,الاستعجالي,,,,,3
775,word_799.png,Arabic,أمن,,,,,3
780,word_804.png,Arabic,التفسّخ,,,,,3
782,word_806.png,Arabic,الإنحلال,,,,,3
789,word_813.png,Arabic,نجلاء,,,,,3
795,word_819.png,Latin,Group,,,,,0
796,word_820.png,Arabic,متحف,,,,,3
803,word_827.png,Arabic,الاعتماد,,,,,3
804,word_828.png,Arabic,اللبناني,,,,,3
812,word_836.png,Latin,BANQUE,,,,,0
817,word_841.png,Arabic,النواب,,,,,3
818,word_842.png,Arabic,تيقنتورين,,,,,3
819,word_843.png,Latin,TEGUENTOURINE,,,,,0
824,word_848.png,Arabic,بلدية,,,,,3
827,word_851.png,Arabic,تحية,,,,,3
834,word_858.png,Arabic,بلدية,,,,,3
852,word_876.png,Arabic,أوركاسترا,,,,,3
855,word_879.png,Arabic,والشرقية,,,,,3
863,word_887.png,Latin,540,,,,,0
870,word_894.png,Arabic,خروج,,,,,3
872,word_896.png,Arabic,المدرسة,,,,,3
875,word_899.png,Arabic,باب,,,,,3
882,word_906.png,Arabic,مخبر,,,,,3
890,word_914.png,Arabic,الطبي,,,,,3
892,word_916.png,Arabic,التصوير,,,,,3
893,word_917.png,Arabic,الطبي,,,,,3
900,word_924.png,Arabic,المغناطيسي,,,,,3
902,word_926.png,Latin,Medical,,,,,0
908,word_932.png,Arabic,فابس,,,,,3
916,word_940.png,Latin,GABES,,,,,0
920,word_944.png,Arabic,نيابة,,,,,3
926,word_950.png,Latin,LLOYD,,,,,0
929,word_953.png,Arabic,هاتف,,,,,3
940,word_964.png,Latin,Parking,,,,,0
948,word_972.png,Latin,la,,,,,0
954,word_978.png,Latin,BANK,,,,,0
956,word_980.png,Latin,red,,,,,0
958,word_982.png,Latin,oo,,,,,0
966,word_990.png,Arabic,ملفّ,,,,,3
970,word_998.png,Arabic,و,,,,,3
975,word_1003.png,Latin,71,,,,,0
978,word_1007.png,Latin,ODV,,,,,0
981,word_1010.png,Arabic,أشغال,,,,,3
990,word_1019.png,Latin,Grasse,,,,,0
995,word_1024.png,Arabic,بنّة,,,,,3
997,word_1026.png,Arabic,كلّ,,,,,3
1029,word_1058.png,Arabic,مصحة,,,,,3
1032,word_1061.png,Latin,ESSALAMA,,,,,0
1033,word_1062.png,Latin,12,,,,,0
1037,word_1066.png,Arabic,فضاء,,,,,3
1041,word_1070.png,Arabic,ثقافي,,,,,3
1050,word_1080.png,Arabic,خياطة,,,,,3
1056,word_1086.png,Arabic,هاتف,,,,,3
1063,word_1093.png,Arabic,الفني,,,,,3
1073,word_1103.png,Arabic,الجلدية,,,,,3
1080,word_1110.png,Arabic,أستاذ,,,,,3
1085,word_1115.png,Arabic,الطب,,,,,3
1086,word_1116.png,Arabic,الطابق,,,,,3
1095,word_1126.png,Arabic,مركز,,,,,3
1102,word_1133.png,Arabic,و,,,,,3
1103,word_1134.png,Arabic,ملاوي,,,,,3
1107,word_1138.png,Arabic,سكانار,,,,,3
1114,word_1145.png,Latin,market,,,,,0
1116,word_1147.png,Latin,13,,,,,0
1135,word_1166.png,Arabic,يحفّل,,,,,3
1138,word_1169.png,Arabic,وفاء,,,,,3
1142,word_1173.png,Latin,fidélité,,,,,0
1148,word_1179.png,Arabic,و,,,,,3
1151,word_1182.png,Arabic,وفاء,,,,,3
1152,word_1183.png,Latin,1,,,,,0
1159,word_1190.png,Latin,La,,,,,0
1163,word_1194.png,Latin,prix,,,,,0
1165,word_1196.png,Arabic,الأسوام,,,,,3
1179,word_1210.png,Arabic,نظارات,,,,,3
1181,word_1212.png,Arabic,احمد,,,,,3
1182,word_1213.png,Arabic,ذويب,,,,,3
1185,word_1216.png,Arabic,عبودة,,,,,3
1186,word_1217.png,Latin,4,,,,,0
1188,word_1219.png,Arabic,عدد,,,,,3
1189,word_1220.png,Arabic,الديون,,,,,3
1199,word_1230.png,Latin,74,,,,,0
1214,word_1246.png,Latin,NAWAR,,,,,0
1218,word_1250.png,Arabic,الشباب,,,,,3
1233,word_1265.png,Latin,LES,,,,,0
1237,word_1269.png,Latin,mekki,,,,,0
1239,word_1271.png,Arabic,المركز,,,,,3
1247,word_1279.png,Latin,CON,,,,,0
1248,word_1280.png,Arabic,المركز,,,,,3
1256,word_1288.png,Arabic,صبغ,,,,,3
1261,word_1293.png,Latin,D,,,,,0
1264,word_1296.png,Arabic,العموميّة,,,,,3
1265,word_1297.png,Arabic,الملتقى,,,,,3
1279,word_1311.png,Arabic,المكتبة,,,,,3
1282,word_1314.png,Arabic,بصفاقس,,,,,3
1292,word_1324.png,Arabic,بلاص,,,,,3
1294,word_1326.png,Arabic,نزل,,,,,3
1299,word_1331.png,Latin,OLIVIERS,,,,,0
1300,word_1332.png,Latin,PALA,,,,,0
1303,word_1335.png,Arabic,الصناعة,,,,,3
1305,word_1337.png,Arabic,وي,,,,,3
1308,word_1340.png,Latin,men,,,,,0
1369,word_1402.png,Arabic,الفلاحي,,,,,3
1373,word_1406.png,Arabic,الشّيحيّة,,,,,3
1383,word_1416.png,Arabic,الجافّة,,,,,3
1389,word_1422.png,Arabic,الأميرة,,,,,3
1391,word_1424.png,Arabic,نسمة,,,,,3
1402,word_1435.png,Arabic,/١٨,,,,,3
1406,word_1440.png,Arabic,للتقسيم,,,,,3
1409,word_1443.png,Arabic,عند,,,,,3
1413,word_1447.png,Arabic,مثلّجات,,,,,3
1423,word_1457.png,Arabic,شطُورُو,,,,,3
1432,word_1466.png,Latin,SHOP,,,,,0
1434,word_1468.png,Arabic,الجافة,,,,,3
1439,word_1473.png,Latin,2,,,,,0
1442,word_1476.png,Arabic,زياد,,,,,3
1443,word_1477.png,Arabic,سنتر,,,,,3
1461,word_1495.png,Latin,PEAUDOUCE,,,,,0
1462,word_1496.png,Latin,Libero,,,,,0
1479,word_1513.png,Arabic,مكتب,,,,,3
1485,word_1519.png,Latin,BOUZEYENE,,,,,0
1488,word_1522.png,Arabic,ڤرمدة,,,,,3
1497,word_1531.png,Latin,dans,,,,,0
1505,word_1539.png,Arabic,مجزرة,,,,,3
1508,word_1542.png,Arabic,بالجملة,,,,,3
1509,word_1543.png,Arabic,تجارة,,,,,3
1518,word_1552.png,Arabic,رجال,,,,,3
1528,word_1564.png,Latin,5,,,,,0
1529,word_1565.png,Latin,SFAX,,,,,0
1533,word_1569.png,Arabic,المدرسة,,,,,3
1535,word_1571.png,Arabic,الابتدائيّة,,,,,3
1538,word_1574.png,Arabic,التّونسية,,,,,3
1541,word_1577.png,Arabic,شهادة,,,,,3
1556,word_1592.png,Latin,CE,,,,,0
1570,word_1606.png,Latin,DE,,,,,0
1576,word_1612.png,Arabic,مخبزة,,,,,3
1577,word_1613.png,Arabic,النور,,,,,3
1583,word_1619.png,Arabic,أثاث,,,,,3
1588,word_1624.png,Arabic,علوس,,,,,3
1599,word_1635.png,Latin,à,,,,,0
1600,word_1636.png,Latin,Travers,,,,,0
1603,word_1639.png,Latin,LG,,,,,0
1611,word_1647.png,Arabic,الطبيعي,,,,,3
1613,word_1649.png,Arabic,التنحيف,,,,,3
1614,word_1650.png,Arabic,قاعة,,,,,3
1619,word_1655.png,Arabic,الحماية,,,,,3
1622,word_1658.png,Arabic,وتهيئة,,,,,3
1630,word_1667.png,Latin,761,,,,,0
1636,word_1673.png,Arabic,العكروت,,,,,3
1641,word_1679.png,Arabic,مقهى,,,,,3
1643,word_1681.png,Arabic,شركة,,,,,3
1648,word_1686.png,Arabic,بلدية,,,,,3
1649,word_1687.png,Arabic,صفاقس,,,,,3
1651,word_1689.png,Arabic,الربض,,,,,3
1655,word_1693.png,Arabic,المقومة,,,,,3
1659,word_1697.png,Arabic,القدم,,,,,3
1662,word_1700.png,Arabic,السلو,,,,,3
1666,word_1704.png,Arabic,يتوسع,,,,,3
1691,word_1729.png,Latin,29,,,,,0
1696,word_1735.png,Arabic,محمد,,,,,3
1712,word_1751.png,Arabic,عمُومي,,,,,3
1721,word_1760.png,Arabic,ذهاب,,,,,3
1728,word_1767.png,Latin,9,,,,,0
1737,word_1776.png,Latin,sindhar,,,,,0
1739,word_1778.png,Arabic,انتظار,,,,,3
1741,word_1780.png,Latin,D'ATTENTE,,,,,0
1753,word_1793.png,Latin,vers,,,,,0
1754,word_1794.png,Latin,GAFSA,,,,,0
1755,word_1795.png,Latin,ARKAS,,,,,0
1757,word_1797.png,Latin,CAHIER,,,,,0
1758,word_1798.png,Arabic,و,,,,,3
1769,word_1810.png,Latin,VOTRE,,,,,0
1775,word_1816.png,Latin,Agence,,,,,0
1780,word_1821.png,Arabic,سيتي,,,,,3
1783,word_1824.png,Arabic,ترحب,,,,,3
1786,word_1827.png,Latin,A,,,,,0
1790,word_1831.png,Arabic,تونس,,,,,3
1803,word_1844.png,Arabic,حزام,,,,,3
1805,word_1846.png,Arabic,عند,,,,,3
1807,word_1848.png,Arabic,الأمن,,,,,3
1813,word_1854.png,Arabic,خالد,,,,,3
1821,word_1862.png,Arabic,الأمن,,,,,3
1826,word_1867.png,Arabic,عنبتاوي,,,,,3
1834,word_1875.png,Latin,Abu,,,,,0
1837,word_1878.png,Latin,ARABIAN,,,,,0
1842,word_1883.png,Arabic,محاكم,,,,,3
1850,word_1891.png,Arabic,‎٨‎٥,,,,,3
1851,word_1892.png,Arabic,رحمة,,,,,3
1860,word_1901.png,Latin,Km,,,,,0
1867,word_1908.png,Latin,Aqaba,,,,,0
1870,word_1911.png,Latin,Welcome,,,,,0
1876,word_1917.png,Arabic,العقبة,,,,,3
1881,word_1922.png,Latin,Amman,,,,,0
1897,word_1938.png,Arabic,الطريق,,,,,3
1900,word_1941.png,Arabic,عجلون,,,,,3
1901,word_1942.png,Arabic,جرش,,,,,3
1902,word_1943.png,Latin,Ajlun,,,,,0
1904,word_1945.png,Latin,Castle,,,,,0
1911,word_1952.png,Arabic,اكبر,,,,,3
1912,word_1953.png,Arabic,اكبر,,,,,3
1915,word_1956.png,Arabic,اكبر,,,,,3
1918,word_1959.png,Latin,CE,,,,,0
1923,word_1964.png,Arabic,الاجْتمَاعيَّةْ,,,,,3
1924,word_1965.png,Arabic,خزانة,,,,,3
1937,word_1978.png,Arabic,الشرق,,,,,3
1939,word_1980.png,Arabic,أمن,,,,,3
1943,word_1984.png,Latin,FUMER,,,,,0
1951,word_1992.png,Arabic,نقابة,,,,,3
1959,word_2000.png,Arabic,العسل,,,,,3
1972,word_2013.png,Latin,RUE,,,,,0
1974,word_2015.png,Latin,PASTEUR,,,,,0
1975,word_2016.png,Arabic,الإدارية,,,,,3
1981,word_2022.png,Arabic,٢,,,,,3
2013,word_2054.png,Arabic,الحرس,,,,,3
2015,word_2056.png,Arabic,فرقتكم,,,,,3
2028,word_2070.png,Arabic,مخرج,,,,,3
2030,word_2072.png,Latin,4,,,,,0
2032,word_2074.png,Arabic,شارع,,,,,3
2038,word_2080.png,Latin,Gulf,,,,,0
2040,word_2082.png,Arabic,وزَارة,,,,,3
2041,word_2083.png,Arabic,التَّربيَة,,,,,3
2049,word_2091.png,Latin,THIRSTY,,,,,0
2050,word_2092.png,Latin,FOR,,,,,0
2062,word_2105.png,Arabic,إنتظارك,,,,,3
2077,word_2120.png,Latin,ST,,,,,0
2085,word_2128.png,Latin,HÔTEL,,,,,0
2086,word_2129.png,Latin,D'AMIE,,,,,0
2089,word_2132.png,Latin,140,,,,,0
2091,word_2134.png,Arabic,الاعدادية,,,,,3
2093,word_2136.png,Arabic,جمال,,,,,3
2094,word_2137.png,Arabic,عبدالجليل,,,,,3
2095,word_2138.png,Arabic,بأكودة,,,,,3
2096,word_2139.png,Arabic,الهدايا,,,,,3
2100,word_2143.png,Latin,CENTER,,,,,0
2107,word_2150.png,Latin,BOUZA,,,,,0
2120,word_2163.png,Latin,LA,,,,,0
2121,word_2164.png,Latin,BIENVENUE,,,,,0
2130,word_2173.png,Arabic,الوطنية,,,,,3
2134,word_2177.png,Arabic,بلدية,,,,,3
2158,word_2201.png,Arabic,شرطة,,,,,3
2167,word_2210.png,Arabic,شرطة,,,,,3
2171,word_2214.png,Latin,RUE,,,,,0
2179,word_2222.png,Latin,National,,,,,0
2189,word_2232.png,Latin,DES,,,,,0
2191,word_2234.png,Arabic,مطار,,,,,3
2220,word_2263.png,Arabic,نقَابَة,,,,,3
2226,word_2269.png,Arabic,مجلس,,,,,3
2228,word_2271.png,Arabic,محمد,,,,,3
2232,word_2275.png,Arabic,الخامس,,,,,3
2234,word_2277.png,Arabic,المغادرة,,,,,3
2248,word_2291.png,Arabic,جرير,,,,,3
2252,word_2295.png,Latin,GUERIR,,,,,0
2253,word_2296.png,Latin,CASABLANCA,,,,,0
2256,word_2299.png,Arabic,البركة,,,,,3
2278,word_2321.png,Arabic,متحف,,,,,3
2283,word_2326.png,Arabic,والثقافة,,,,,3
2287,word_2330.png,Arabic,العيون,,,,,3
2290,word_2333.png,Latin,SOYEZ,,,,,0
2291,word_2334.png,Latin,LES,,,,,0
2297,word_2340.png,Arabic,للتنمية,,,,,3
2303,word_2346.png,Latin,DE,,,,,0
2304,word_2347.png,Latin,DEVELOPPEMENT,,,,,0
2308,word_2351.png,Latin,Socialiste,,,,,0
2309,word_2352.png,Arabic,الإشتراكي,,,,,3
2320,word_2365.png,Arabic,مقهى,,,,,3
2321,word_2366.png,Latin,DIALYSE,,,,,0
2324,word_2369.png,Arabic,تاركَة,,,,,3
2327,word_2372.png,Arabic,مركز,,,,,3
2328,word_2373.png,Latin,TARGA,,,,,0
2332,word_2377.png,Latin,HOLLANDI,,,,,0
2339,word_2384.png,Arabic,سلي,,,,,3
2346,word_2391.png,Latin,STATION,,,,,0
2347,word_2392.png,Latin,POLICE,,,,,0
2348,word_2393.png,Arabic,البرشاء,,,,,3
2353,word_2398.png,Arabic,حُكومَةُ,,,,,3
2354,word_2399.png,Arabic,دُبَيّ,,,,,3
2356,word_2401.png,Arabic,الهلال,,,,,3
2363,word_2408.png,Arabic,شارع,,,,,3
2388,word_2433.png,Arabic,الجديدة,,,,,3
2391,word_2436.png,Arabic,يقدمها,,,,,3
2392,word_2437.png,Arabic,إقليم,,,,,3
2393,word_2438.png,Arabic,الجديدة,,,,,3
2395,word_2440.png,Arabic,كايرا,,,,,3
2402,word_2447.png,Arabic,قسم,,,,,3
2411,word_2456.png,Arabic,الداخلية,,,,,3
2424,word_2469.png,Arabic,نور,,,,,3
2430,word_2475.png,Arabic,بنك,,,,,3
2432,word_2477.png,Latin,TIONALE,,,,,0
2440,word_2485.png,Arabic,وزارة,,,,,3
2441,word_2486.png,Arabic,الشؤون,,,,,3
2447,word_2492.png,Arabic,الأمان,,,,,3
2449,word_2494.png,Latin,BANK,,,,,0
2455,word_2500.png,Latin,POSTE,,,,,0
2468,word_2513.png,Arabic,تحميله,,,,,3
2471,word_2516.png,Arabic,السوري,,,,,3
2473,word_2518.png,Latin,111149979,,,,,0
2480,word_2525.png,Arabic,مذاق,,,,,3
2491,word_2537.png,Arabic,ان,,,,,3
2511,word_2557.png,Arabic,٤٩٧,,,,,3
2516,word_2562.png,Arabic,مسؤوليتنا,,,,,3
2523,word_2569.png,Latin,au,,,,,0
2530,word_2576.png,Latin,de,,,,,0
2539,word_2586.png,Arabic,و,,,,,3
2542,word_2589.png,Arabic,وَرْد,,,,,3
2545,word_2592.png,Latin,UNE,,,,,0
2557,word_2605.png,Latin,IM,,,,,0
2563,word_2611.png,Latin,ADEL,,,,,0
2572,word_2621.png,Latin,JANV,,,,,0
2575,word_2624.png,Arabic,أنتيُجُونا,,,,,3
2577,word_2626.png,Latin,les,,,,,0
2584,word_2633.png,Latin,ctacle,,,,,0
2586,word_2635.png,Latin,SPECTACLE,,,,,0
2590,word_2639.png,Latin,LA,,,,,0
2591,word_2640.png,Latin,DE,,,,,0
2596,word_2646.png,Arabic,و,,,,,3
2610,word_2660.png,Arabic,الزيتون,,,,,3
2617,word_2668.png,Arabic,بن,,,,,3
2622,word_2673.png,Arabic,الهاتف,,,,,3
2635,word_2688.png,Latin,BLÈ,,,,,0
2645,word_2698.png,Arabic,سباڤتي,,,,,3
2649,word_2703.png,Latin,DIARI,,,,,0
2651,word_2705.png,Latin,Fine,,,,,0
2662,word_2718.png,Latin,BLE,,,,,0
2663,word_2719.png,Latin,PURE,,,,,0
2680,word_2736.png,Latin,POWDER,,,,,0
2688,word_2745.png,Arabic,كركم,,,,,3
2689,word_2746.png,Arabic,مرحي,,,,,3
2690,word_2747.png,Arabic,ريمة,,,,,3
2739,word_2796.png,Arabic,شعب,,,,,3
2740,word_2797.png,Arabic,وفوق,,,,,3
2745,word_2802.png,Arabic,البلجيكي,,,,,3
2755,word_2812.png,Latin,718-921-9298,,,,,0
2757,word_2814.png,Arabic,الكتابية,,,,,3
2759,word_2816.png,Arabic,الإجتماعات,,,,,3
2760,word_2817.png,Arabic,الأحد,,,,,3
2762,word_2819.png,Arabic,الأجتماع,,,,,3
2764,word_2821.png,Arabic,دراسة,,,,,3
2765,word_2822.png,Arabic,الكتاب,,,,,3
2769,word_2826.png,Arabic,الكنيسة,,,,,3
2776,word_2836.png,Arabic,مدخل,,,,,3
2780,word_2840.png,Latin,Thru,,,,,0
2788,word_2848.png,Latin,40,,,,,0
2789,word_2849.png,Latin,6,,,,,0
2793,word_2853.png,Latin,HAIR,,,,,0
2801,word_2861.png,Latin,REG,,,,,0
2804,word_2864.png,Arabic,كولا,,,,,3
2812,word_2872.png,Latin,ARRIVEE,,,,,0
2818,word_2880.png,Arabic,بحب,,,,,3
2819,word_2881.png,Arabic,بلدى,,,,,3
2826,word_2888.png,Latin,TAYMOREA,,,,,0
2829,word_2891.png,Latin,ST.,,,,,0
2830,word_2892.png,Arabic,مريم,,,,,3
2831,word_2893.png,Latin,HOSH,,,,,0
2834,word_2896.png,Arabic,إن,,,,,3
2846,word_2908.png,Arabic,شارع,,,,,3
2850,word_2912.png,Latin,KAMEL,,,,,0
2852,word_2914.png,Latin,McDonald's,,,,,0
2855,word_2917.png,Arabic,نقَابةْ,,,,,3
2868,word_2930.png,Arabic,حُبٌ,,,,,3
2886,word_2948.png,Arabic,الكويت,,,,,3
2896,word_2958.png,Arabic,البلدية,,,,,3
2897,word_2959.png,Latin,HOTEL,,,,,0
2899,word_2961.png,Latin,VILLE,,,,,0
2914,word_2976.png,Latin,UNIVERSITE,,,,,0
2927,word_2989.png,Latin,Jumeira,,,,,0
2932,word_2994.png,Arabic,مصرف,,,,,3
2940,word_3002.png,Arabic,الكويتية,,,,,3
2948,word_3010.png,Latin,Association,,,,,0
2955,word_3017.png,Latin,DE,,,,,0
2959,word_3021.png,Arabic,وزارة,,,,,3
2973,word_3035.png,Latin,ATION,,,,,0
2976,word_3038.png,Arabic,التربية,,,,,3
2980,word_3042.png,Latin,MINISTRY,,,,,0
2989,word_3051.png,Arabic,الوطنية,,,,,3
3001,word_3063.png,Arabic,دبي,,,,,3
3004,word_3066.png,Latin,LIBRARY,,,,,0
3016,word_3078.png,Latin,TSI,,,,,0
3037,word_3099.png,Arabic,الزيتون,,,,,3
3039,word_3101.png,Arabic,معاًً,,,,,3
3049,word_3111.png,Arabic,الكبرى,,,,,3
3051,word_3113.png,Latin,1887,,,,,0
3055,word_3117.png,Arabic,في,,,,,3
3064,word_3126.png,Arabic,دْ,,,,,3
3066,word_3128.png,Arabic,نقابة,,,,,3
3073,word_3135.png,Latin,Hyatt,,,,,0
3084,word_3146.png,Arabic,٥,,,,,3
3086,word_3148.png,Arabic,جزّار,,,,,3
3094,word_3157.png,Arabic,لمكيفات,,,,,3
3096,word_3159.png,Latin,Climatisation,,,,,0
3099,word_3162.png,Arabic,بلدية,,,,,3
3105,word_3168.png,Latin,Bois,,,,,0
3108,word_3171.png,Arabic,علم,,,,,3
3109,word_3172.png,Arabic,الانسان,,,,,3
3112,word_3175.png,Arabic,يعلم,,,,,3
3125,word_3188.png,Arabic,المدرسة,,,,,3
3130,word_3193.png,Latin,mg,,,,,0
3135,word_3198.png,Latin,ISLAND,,,,,0
3146,word_3209.png,Arabic,كتاما,,,,,3
3147,word_3210.png,Arabic,تأمينات,,,,,3
3151,word_3214.png,Latin,75,,,,,0
3152,word_3215.png,Latin,654,,,,,0
3159,word_3222.png,Arabic,صيانة,,,,,3
3160,word_3223.png,Latin,CAISSE,,,,,0
3163,word_3226.png,Arabic,الصندوق,,,,,3
3164,word_3227.png,Arabic,التونسي,,,,,3
3168,word_3231.png,Latin,CTAMA,,,,,0
3175,word_3238.png,Latin,O,,,,,0
3181,word_3244.png,Latin,Prête,,,,,0
3182,word_3245.png,Latin,Nouveau,,,,,0
3198,word_3262.png,Latin,21,,,,,0
3204,word_3268.png,Arabic,عادل,,,,,3
3207,word_3271.png,Arabic,جافة,,,,,3
3208,word_3272.png,Latin,Secs,,,,,0
3216,word_3280.png,Arabic,رفاهة,,,,,3
3224,word_3288.png,Latin,Une,,,,,0
3245,word_3309.png,Arabic,سنتر,,,,,3
3247,word_3311.png,Latin,Copy,,,,,0
3253,word_3317.png,Latin,/Blanc,,,,,0
3262,word_3329.png,Latin,sur,,,,,0
3264,word_3331.png,Latin,Plastification,,,,,0
3268,word_3337.png,Latin,reliure,,,,,0
3272,word_3341.png,Latin,75,,,,,0
3279,word_3348.png,Latin,3,,,,,0
3288,word_3357.png,Arabic,والاعلامية,,,,,3
3296,word_3365.png,Latin,HOTEL,,,,,0
3305,word_3374.png,Latin,Société,,,,,0
3321,word_3390.png,Latin,52,,,,,0
3324,word_3393.png,Arabic,أكلة,,,,,3
3329,word_3398.png,Latin,au,,,,,0
3334,word_3403.png,Latin,ANONE,,,,,0
3336,word_3405.png,Latin,délice,,,,,0
3339,word_3408.png,Latin,milka,,,,,0
3348,word_3417.png,Arabic,مخبزة,,,,,3
3355,word_3424.png,Arabic,حنبعل,,,,,3
3359,word_3428.png,Latin,Zazi,,,,,0
3362,word_3431.png,Arabic,رفيع,,,,,3
3366,word_3435.png,Latin,53,,,,,0
3368,word_3437.png,Latin,HADJI,,,,,0
3374,word_3443.png,Arabic,مطعم,,,,,3
3382,word_3452.png,Arabic,الدولي,,,,,3
3386,word_3456.png,Latin,guichets,,,,,0
3391,word_3462.png,Arabic,فتح,,,,,3
3404,word_3475.png,Arabic,سبتمبر,,,,,3
3412,word_3485.png,Arabic,حصة,,,,,3
3418,word_3491.png,Arabic,رمضان,,,,,3
